"Maintenance","Технічне обслуговування"
"Service is temporary unavailable","Сервіс тимчасово недоступний"
"The site is down due to maintenance servicing and will return to work soon.","Сайт не доступний через технічне обслуговування та повернеться до роботи найближчим часом."
"Internal error","Помилка"
"An internal error occurred during loading this page","При завантаженні сторінки виникла помилка"
"Details are hidden due to security reasons and can be found in log files.","Деталі було приховано з міркувань безпеки, вони можуть бути знайдені у лог файлах."
"Page Not Found","Сторінка не знайдена"
"Seems, page you are looking for is not present","Здається, сторінка, яку ви намагаєтесь знайти, не існує"
"Try Homepage","На Головну"
"Unauthorized","Помилка авторизації"
"Request's authorization was not correct.","Авторизація запиту пройшла не коректно."
"Please, check it and try to reload the page.","Будь ласка, перевірте його та спробуйте перезавантажити сторінку."
"All rights reserved","Всі права захищені"
